amount,hour,txn_velocity_1h,acct_age_days,amount_to_avg_ratio,cross_border,is_fraud
38.14,15,1,3920,0.849,0,0
73.31,21,0,283,0.78,0,0
81.41,14,2,2836,1.584,0,0
66.22,10,1,2192,1.148,0,0
259.17,6,1,281,1.121,0,0
109.22,10,0,3384,1.251,0,0
25.84,10,0,880,1.299,0,0
19.3,12,2,2627,1.459,1,0
267.84,13,1,2891,0.898,0,0
61.2,18,2,655,0.797,0,0
271.61,15,2,3563,0.779,0,0
298.51,14,2,2254,0.853,0,0
124.21,7,0,3958,1.02,0,0
497.1,15,1,1343,1.499,0,0
444.1,17,0,2078,1.141,0,0
90.84,14,0,1988,1.486,0,0
62.96,18,2,2676,0.919,0,0
74.14,7,2,2977,1.451,0,0
175.11,16,1,2208,1.4,0,0
76.33,16,1,1992,0.628,0,0
65.71,10,1,1952,1.257,0,0
25.36,19,0,2163,1.118,0,0
141.04,9,3,419,1.403,0,0
231.41,18,2,2602,0.279,0,0
46.04,11,1,882,1.539,0,0
21.1,21,2,769,0.952,0,0
48.78,20,1,2569,1.126,0,0
267.79,11,0,125,0.763,0,0
46.77,19,0,2192,1.111,0,0
205.15,8,2,3250,0.734,0,0
111.0,8,3,1620,0.607,1,0
44.52,11,0,3326,0.54,0,0
365.83,15,0,2770,1.313,0,0
155.11,9,1,3816,0.75,0,0
74.37,12,3,1848,0.514,0,0
69.04,21,2,3991,1.192,0,0
83.25,6,1,1117,1.73,0,0
67.86,16,2,2473,1.042,0,0
73.0,20,2,1442,1.4,0,0
74.53,13,3,2679,1.236,0,0
35.68,19,2,514,1.373,1,0
210.05,14,0,3928,1.09,0,0
149.21,13,2,2145,1.198,0,0
198.23,3,11,211,4.412,1,1
65.38,21,2,3383,0.484,0,0
13.0,12,2,2832,1.3,0,0
312.09,6,0,239,1.301,1,0
15.89,22,4,892,0.627,0,0
35.51,6,1,399,1.262,0,0
62.8,12,2,3841,0.755,0,0
70.78,9,2,578,0.466,0,0
60.65,10,0,988,1.396,0,0
10.45,17,2,1412,0.852,0,0
62.87,8,1,832,1.349,1,0
24.84,11,1,920,1.236,0,0
73.82,16,2,3157,1.341,0,0
148.84,21,2,885,1.193,0,0
145.52,19,1,796,1.198,0,0
58.04,20,0,350,0.726,0,0
28.13,15,1,2564,0.729,0,0
30.07,19,1,3029,0.864,0,0
406.89,6,2,1988,0.811,0,0
79.92,12,2,1233,0.994,0,0
162.57,6,2,3576,0.933,0,0
37.27,20,2,3427,0.244,0,0
119.32,11,1,1439,1.313,0,0
151.48,21,2,1253,1.117,0,0
12.42,13,1,3070,0.433,0,0
91.18,14,1,1060,1.444,0,0
76.84,20,1,1330,0.861,0,0
33.01,16,2,3121,1.208,0,0
182.47,22,1,3452,0.822,0,0
66.84,19,2,321,0.962,0,0
44.08,21,2,3162,0.927,0,0
236.08,12,2,3407,1.029,0,0
219.04,9,0,1700,1.221,0,0
479.29,11,2,444,0.839,0,0
52.75,22,1,488,1.385,0,0
44.77,21,0,2411,0.772,1,0
101.69,11,1,613,1.467,1,0
225.48,17,1,3234,0.847,0,0
6.37,14,1,1642,0.922,0,0
119.78,17,0,2663,0.617,0,0
370.22,18,2,3139,0.199,0,0
255.18,18,1,511,0.98,0,0
262.9,8,1,3909,0.845,0,0
11.02,10,3,1163,0.856,0,0
23.62,21,2,1988,1.295,0,0
48.59,15,3,362,0.867,0,0
28.31,11,3,1195,0.707,0,0
54.05,12,1,3544,1.504,0,0
85.38,8,1,3766,1.152,0,0
62.03,15,1,2120,0.486,0,0
199.47,12,1,1347,1.396,0,0
76.93,18,0,3946,0.633,0,0
120.36,6,0,1851,1.414,0,0
75.53,21,3,850,1.118,0,0
14.29,19,1,1518,0.505,0,0
93.38,12,2,1672,0.592,0,0
132.47,14,1,2344,0.955,0,0
293.83,9,1,1598,1.005,0,0
73.97,16,2,2101,1.159,0,0
23.52,12,0,3850,1.066,0,0
218.68,7,1,2596,1.141,0,0
181.08,21,2,2116,0.939,0,0
78.75,21,0,3919,0.81,0,0
86.1,18,1,771,0.906,0,0
326.09,9,0,2608,1.282,0,0
134.37,14,2,1401,0.883,0,0
77.79,13,3,1415,1.546,0,0
276.54,19,2,395,0.968,0,0
78.68,16,0,2068,0.787,0,0
66.43,12,0,121,1.268,0,0
628.4,20,1,871,0.762,0,0
50.36,16,0,3704,0.751,0,0
16.71,11,1,1349,1.395,0,0
64.2,12,1,3962,1.191,0,0
113.49,13,2,3738,1.634,1,0
55.98,7,0,1295,1.057,0,0
27.78,8,1,3420,0.639,0,0
331.73,10,2,213,1.049,0,0
111.99,21,1,293,0.822,0,0
102.54,20,0,2841,0.566,0,0
206.3,16,3,1567,1.11,0,0
25.49,15,2,609,1.033,0,0
25.49,22,1,3720,1.207,0,0
85.33,7,1,1270,1.173,0,0
128.51,17,1,630,1.231,0,0
55.73,15,3,1634,1.316,0,0
104.09,16,1,2458,0.547,0,0
50.29,13,0,2269,0.759,0,0
60.24,22,2,2869,0.444,0,0
96.23,6,1,345,0.708,0,0
85.55,19,3,2384,1.258,0,0
30.41,19,0,2488,1.274,0,0
23.63,17,1,2886,0.681,0,0
24.94,9,3,322,0.91,0,0
56.68,16,2,1070,1.254,0,0
109.27,8,3,2859,1.07,1,0
58.31,18,1,540,0.704,0,0
20.99,22,0,1024,0.939,0,0
46.87,20,3,1608,1.299,1,0
468.11,20,3,1338,1.099,1,0
180.91,10,1,945,0.708,0,0
332.1,18,2,3164,0.468,0,0
137.53,17,1,2751,1.469,0,0
96.83,10,1,715,0.892,0,0
136.19,7,3,3750,1.256,0,0
74.73,13,1,2229,1.412,0,0
58.99,21,2,3033,1.106,0,0
87.69,17,3,399,0.907,0,0
56.68,15,6,2185,0.41,0,0
33.2,9,1,1558,0.595,0,0
56.54,12,2,1257,1.297,0,0
102.42,13,2,3969,1.223,0,0
63.57,7,2,1864,0.988,0,0
27.59,20,1,1852,0.933,0,0
141.79,21,1,1869,1.203,0,0
92.08,7,0,3678,0.856,0,0
210.69,18,1,3709,0.9,0,0
321.64,15,3,1790,1.275,0,0
38.87,7,0,2464,1.317,0,0
133.29,10,1,1583,0.823,0,0
49.69,16,2,3437,1.53,1,0
118.12,15,0,3117,1.498,0,0
57.86,7,1,3706,1.54,0,0
200.52,13,2,2791,1.653,0,0
82.93,14,3,1720,0.565,0,0
207.3,14,0,1577,1.464,0,0
80.21,10,2,2913,1.497,0,0
195.84,11,1,1355,0.822,0,0
114.96,19,1,1747,0.86,0,0
590.29,21,2,3115,1.134,0,0
26.89,11,2,353,0.869,0,0
82.87,17,1,1321,1.093,0,0
114.32,11,1,2398,1.436,0,0
119.24,14,3,2432,0.88,0,0
20.33,21,1,3363,0.713,0,0
169.15,10,1,2703,0.516,0,0
530.98,15,2,1639,1.482,0,0
67.61,22,2,2583,1.124,0,0
288.31,19,1,1046,0.659,1,0
37.39,20,2,3766,1.168,0,0
8.42,12,2,314,1.077,0,0
139.78,9,2,3031,1.181,0,0
243.28,15,0,2398,0.793,0,0
22.79,11,0,1143,1.318,0,0
332.2,8,1,2550,1.372,0,0
32.9,10,3,1864,1.056,0,0
47.73,16,1,3099,0.931,1,0
60.84,8,1,3427,1.301,0,0
63.33,18,2,3524,1.025,0,0
31.39,20,0,3204,1.346,0,0
83.42,12,2,1820,0.31,0,0
10.02,13,1,3007,0.677,0,0
29.97,17,2,825,1.677,0,0
39.95,21,3,862,1.313,0,0
102.91,19,0,1193,1.108,0,0
143.49,22,1,2705,1.296,0,0
14.98,9,2,1050,1.492,0,0
60.57,13,1,809,0.993,0,0
112.38,9,2,3583,0.854,1,0
225.48,8,2,1601,1.457,0,0
77.56,18,2,1222,0.649,0,0
55.68,22,0,1605,0.78,0,0
53.74,10,3,3254,0.496,0,0
148.3,17,0,2803,0.279,0,0
169.11,10,1,3698,1.17,0,0
123.85,10,3,3907,0.463,0,0
93.39,7,0,1066,1.053,0,0
32.52,22,3,1980,1.381,0,0
61.4,8,1,3978,0.726,0,0
49.9,15,2,3381,0.785,0,0
100.96,7,1,3953,1.456,0,0
53.88,22,1,3783,0.534,1,0
48.54,14,1,2697,1.368,0,0
32.68,10,1,2124,0.78,0,0
14.46,6,2,2745,0.846,0,0
126.33,19,2,418,1.527,0,0
206.46,18,0,1907,0.937,0,0
167.9,19,2,1204,0.932,0,0
4.95,15,2,3998,0.87,0,0
56.08,19,5,824,0.348,0,0
337.34,16,2,2386,1.394,0,0
146.19,8,0,2059,0.806,1,0
78.82,11,0,852,0.96,0,0
45.35,17,3,3218,0.349,0,0
91.58,19,2,2987,0.931,0,0
73.82,16,3,2316,0.802,0,0
154.89,19,1,3375,0.459,0,0
42.5,14,0,2691,0.825,0,0
62.72,19,0,2107,0.824,0,0
770.15,22,6,288,1.493,1,1
191.47,6,1,433,0.568,0,0
40.91,21,2,2196,0.885,0,0
36.16,6,1,2814,0.883,0,0
22.85,10,4,2187,1.57,0,0
47.27,16,2,2117,1.262,0,0
25.99,17,2,224,1.233,0,0
594.37,5,4,366,1.834,1,1
134.42,15,1,2199,0.719,0,0
46.69,14,1,3945,1.136,0,0
46.46,21,0,354,1.6,1,0
34.64,11,0,967,1.21,0,0
317.2,8,2,1461,0.83,0,0
10.44,15,0,180,1.052,0,0
1124.77,1,14,14,3.832,1,1
27.9,20,1,2145,0.547,1,0
144.89,10,3,2157,0.785,0,0
71.06,7,0,3336,0.92,0,0
152.59,12,3,2345,0.05,0,0
51.49,13,1,3022,1.019,0,0
57.35,15,3,325,0.91,0,0
78.65,6,2,1068,1.008,0,0
33.02,9,1,3247,1.258,0,0
109.79,7,1,1472,1.192,0,0
146.39,16,2,677,0.494,0,0
23.01,11,0,3935,1.727,0,0
109.16,15,1,3934,0.829,0,0
36.89,19,1,2853,1.096,0,0
182.09,13,2,303,0.064,0,0
18.83,17,0,612,0.667,0,0
25.23,6,1,1489,0.387,1,0
24.9,7,1,455,0.815,0,0
264.06,19,2,533,1.127,0,0
141.19,16,1,585,1.471,1,0
51.9,17,0,554,0.244,0,0
29.85,16,1,3257,0.31,0,0
83.96,13,1,3643,0.941,0,0
54.33,19,1,1137,0.907,0,0
49.04,19,2,2339,1.0,0,0
377.12,17,4,2294,1.182,0,0
55.25,13,1,3286,0.905,0,0
40.57,19,4,2065,0.747,0,0
168.06,6,2,3977,1.026,0,0
56.11,6,0,1686,0.786,0,0
49.44,19,3,2185,1.606,0,0
31.95,18,2,2426,1.173,0,0
123.33,6,2,1939,0.794,0,0
76.75,11,3,1620,1.269,0,0
22.34,6,1,765,1.227,0,0
77.96,17,0,1200,0.734,0,0
29.06,11,2,1290,1.543,0,0
308.61,13,2,1973,1.22,0,0
62.9,13,2,874,1.133,0,0
15.01,15,3,3982,0.674,0,0
42.54,7,0,1237,1.021,0,0
49.52,17,1,3653,0.981,0,0
231.96,7,1,2107,0.953,0,0
35.87,21,0,2464,1.072,0,0
74.97,16,4,3657,0.797,0,0
16.99,21,2,1619,1.279,0,0
40.9,21,2,3625,0.625,0,0
61.28,11,0,1877,0.925,0,0
87.96,9,3,437,1.097,0,0
343.79,7,0,2481,0.732,0,0
335.58,7,0,131,1.694,0,0
44.1,6,5,2952,1.692,0,0
78.26,19,1,1903,1.017,0,0
424.1,20,1,3363,0.752,1,0
23.94,18,1,2053,0.846,0,0
64.84,6,1,191,1.231,1,0
49.01,16,0,694,1.246,0,0
320.56,11,1,2911,0.59,0,0
121.25,19,2,3293,1.197,0,0
257.47,13,1,168,1.078,0,0
61.28,6,3,3260,1.082,0,0
66.49,10,0,1356,1.172,0,0
16.64,14,1,3488,1.065,0,0
84.38,13,2,2942,0.368,0,0
162.75,13,1,3453,1.093,0,0
36.9,11,2,3224,0.403,1,0
147.14,11,0,539,1.212,0,0
45.52,7,2,906,0.962,0,0
216.68,9,2,1234,1.281,0,0
29.96,19,1,1755,0.129,0,0
29.41,14,1,920,0.668,0,0
163.79,10,2,1193,1.348,0,0
30.63,13,2,3615,0.694,0,0
45.16,17,1,3703,0.9,0,0
123.29,20,0,2784,1.585,0,0
49.53,18,0,2767,1.034,0,0
258.23,16,2,908,0.632,0,0
139.41,19,2,1195,1.059,0,0
63.83,6,1,1167,1.114,0,0
28.17,6,1,1328,1.159,0,0
71.33,21,3,3430,0.604,0,0
54.74,11,2,2921,0.592,0,0
36.78,7,1,1263,1.002,0,0
64.85,20,2,3620,0.879,0,0
109.61,22,3,1916,1.109,0,0
32.3,18,0,369,1.899,0,0
130.09,14,1,402,0.898,0,0
116.22,8,2,2198,0.912,0,0
155.54,7,1,3389,1.141,0,0
52.23,13,1,1801,0.909,1,0
93.99,18,2,3377,0.724,0,0
78.51,7,0,2915,1.492,0,0
151.98,21,2,2060,1.134,0,0
228.46,22,0,1313,0.579,0,0
36.97,10,2,2099,0.8,1,0
251.18,7,1,203,0.943,0,0
171.73,18,2,646,1.565,1,0
54.43,22,0,1395,1.084,0,0
247.61,9,0,790,1.199,0,0
64.26,12,1,311,0.839,0,0
98.27,22,3,1458,0.997,0,0
108.58,14,2,2712,1.045,0,0
38.79,7,3,1364,1.342,0,0
13.83,6,1,2031,1.28,0,0
134.37,13,4,2901,1.059,0,0
493.09,14,0,1110,1.047,0,0
441.66,17,0,2191,1.088,0,0
256.5,17,1,529,1.328,0,0
78.57,14,1,3733,1.332,0,0
27.68,18,2,3899,0.665,1,0
48.26,22,1,2396,1.381,0,0
88.28,6,0,1418,1.207,0,0
586.07,16,3,1400,1.577,0,0
70.46,16,5,2828,0.629,0,0
147.61,12,0,901,0.952,0,0
25.23,17,2,3788,1.211,0,0
15.47,22,2,1105,1.082,0,0
231.32,10,3,2085,0.479,0,0
57.74,12,1,199,1.142,0,0
60.49,17,3,3167,1.057,0,0
240.3,22,1,1455,0.999,0,0
22.67,16,2,1255,0.494,0,0
76.57,18,0,326,0.3,0,0
60.25,8,0,2410,1.117,1,0
191.13,13,1,2853,0.628,0,0
80.23,14,0,2758,0.72,1,0
46.36,9,1,2601,0.873,0,0
102.66,2,5,92,5.598,0,1
23.86,20,1,962,1.134,0,0
37.8,13,2,1530,0.998,0,0
27.72,10,2,2123,0.804,0,0
75.32,22,2,2487,0.658,0,0
55.48,6,1,3049,0.822,0,0
80.01,18,0,1402,0.876,0,0
141.24,16,1,142,1.31,0,0
56.27,22,1,3196,1.286,0,0
445.91,8,2,3676,1.034,0,0
95.78,22,0,3425,1.046,0,0
20.84,7,2,3863,0.673,0,0
97.64,6,0,600,0.672,0,0
350.88,19,3,3001,0.72,0,0
24.64,18,2,2812,1.181,0,0
69.18,11,1,1420,0.623,0,0
33.15,12,1,539,0.911,0,0
324.88,2,5,360,4.929,1,1
155.15,17,1,853,0.778,0,0
281.34,10,0,1539,0.73,0,0
203.01,17,3,2506,0.366,0,0
139.86,6,1,1001,1.23,0,0
51.28,12,3,287,0.789,0,0
119.49,6,1,1043,1.126,0,0
41.46,14,1,473,1.24,0,0
45.8,6,0,3155,0.941,0,0
78.25,19,4,3633,0.995,0,0
173.99,19,1,1949,1.628,0,0
271.19,8,0,1189,0.576,0,0
88.91,6,3,3618,1.297,0,0
81.1,22,2,1611,0.948,0,0
106.75,17,1,2347,1.077,0,0
283.21,18,2,1367,1.302,0,0
143.16,9,1,1792,1.283,0,0
109.79,12,3,1029,0.719,0,0
32.44,8,0,878,1.159,0,0
17.05,7,3,2631,0.952,0,0
29.19,16,1,400,1.128,0,0
35.53,8,1,589,1.321,0,0
13.31,7,1,3264,1.052,1,0
79.6,14,1,2810,0.337,0,0
50.92,22,1,2430,1.234,0,0
82.21,9,3,1514,0.504,0,0
120.42,15,3,1355,1.113,1,0
94.5,9,3,1612,1.277,0,0
74.0,11,0,520,0.916,0,0
44.18,13,0,2491,1.561,0,0
118.05,20,3,2076,0.609,0,0
134.14,16,0,897,0.597,0,0
94.21,21,1,3177,0.905,0,0
222.09,7,2,492,0.327,0,0
163.1,16,2,2981,1.792,0,0
347.25,10,2,2887,1.03,0,0
86.56,15,1,1694,1.333,0,0
2064.48,1,7,343,2.254,1,1
30.4,15,0,704,0.792,0,0
17.21,7,2,2546,0.6,0,0
119.4,7,1,173,0.831,0,0
63.57,6,2,682,1.459,0,0
65.53,14,2,3725,1.371,0,0
30.5,10,3,542,0.387,0,0
51.4,9,2,3882,0.766,0,0
74.89,21,1,1576,0.743,0,0
39.05,14,3,1541,1.495,0,0
290.09,7,0,2386,0.838,0,0
770.03,15,0,1015,0.889,0,0
120.93,14,0,862,1.304,0,0
97.19,10,1,1529,1.291,0,0
310.31,10,1,2470,0.761,0,0
60.29,17,1,1494,0.911,0,0
40.91,20,1,2954,1.25,0,0
149.35,20,0,2055,1.19,0,0
82.03,7,2,1495,1.054,0,0
91.23,10,0,420,0.785,0,0
76.29,16,1,2445,0.991,0,0
45.96,12,5,1454,0.812,0,0
64.08,10,2,320,1.162,0,0
33.49,14,0,1521,1.738,0,0
105.14,16,2,1757,0.567,0,0
154.87,16,2,651,0.845,0,0
33.88,21,0,150,1.071,0,0
11.07,10,0,3526,1.421,1,0
27.05,11,0,1064,0.564,0,0
31.39,9,0,1919,1.094,0,0
46.66,10,2,2510,0.682,0,0
26.13,16,0,2967,0.918,0,0
595.6,11,5,190,1.176,0,0
116.79,10,3,994,0.617,0,0
249.12,11,1,2844,0.931,0,0
34.86,6,6,3652,0.871,1,0
133.69,17,3,1534,0.777,1,0
19.26,21,0,215,1.308,0,0
30.95,9,1,1139,0.082,0,0
387.28,16,1,3673,0.734,0,0
24.45,21,2,2181,1.027,0,0
35.03,22,2,371,0.151,0,0
137.05,11,2,2737,1.047,0,0
150.6,16,3,2786,0.713,0,0
268.83,16,2,811,0.826,0,0
44.24,8,2,3595,0.687,0,0
176.7,21,1,2979,0.71,0,0
104.29,6,0,3383,1.376,0,0
18.65,16,1,2938,1.139,0,0
16.47,16,3,3706,1.161,0,0
275.15,12,3,358,0.626,0,0
32.47,20,0,594,1.349,0,0
47.25,18,2,3050,0.786,0,0
184.58,19,1,1247,0.925,0,0
368.56,11,2,3651,0.598,0,0
49.63,18,1,1387,1.218,0,0
3.53,20,0,2676,0.947,0,0
89.05,18,1,1470,1.127,1,0
42.04,13,2,3558,1.111,0,0
49.5,14,3,634,0.568,0,0
147.37,21,0,2017,1.024,0,0
49.64,19,3,207,0.69,0,0
171.35,17,2,3297,0.852,0,0
90.26,8,1,2622,1.553,0,0
32.51,14,1,3211,0.776,0,0
19.33,9,0,1685,1.219,0,0
26.35,10,0,2797,1.02,0,0
29.62,21,1,3745,1.274,0,0
40.0,8,1,444,0.809,0,0
145.95,11,0,3091,1.79,0,0
18.68,9,1,2296,1.276,0,0
55.97,12,1,2241,0.944,0,0
523.87,4,9,172,2.208,1,1
56.19,14,3,718,0.484,0,0
149.31,16,1,1458,1.223,0,0
53.72,13,1,2833,0.625,0,0
81.65,17,2,1504,0.964,0,0
480.18,11,2,2821,0.797,1,0
113.63,15,0,584,1.051,0,0
127.14,21,0,2799,1.165,0,0
65.1,13,1,3084,0.369,0,0
188.36,16,1,1716,0.805,0,0
43.54,8,1,1941,1.289,0,0
42.87,19,0,3260,1.136,0,0
63.68,22,0,3409,0.854,0,0
41.81,21,0,2152,0.373,0,0
111.56,9,1,2228,1.517,0,0
119.14,10,1,3649,1.429,0,0
67.55,16,0,3129,0.768,0,0
42.2,18,2,1034,0.497,0,0
119.39,6,3,218,1.295,0,0
19.64,18,2,1668,0.901,0,0
50.49,7,0,1919,1.889,0,0
115.11,11,0,3380,1.152,0,0
51.12,15,1,1340,0.589,0,0
81.2,19,3,3369,0.977,0,0
24.74,16,2,2354,0.716,0,0
228.51,18,3,1946,0.631,0,0
133.45,18,2,745,0.828,0,0
77.52,14,0,588,0.61,0,0
12.82,9,1,3687,1.076,0,0
62.96,14,2,3340,0.775,0,0
78.77,13,0,3735,1.038,0,0
225.2,11,3,3130,0.815,0,0
16.01,11,1,702,1.68,0,0
27.83,7,3,638,1.227,0,0
221.02,6,2,2003,0.968,0,0
153.65,20,2,3522,0.939,0,0
124.82,22,1,3445,0.618,0,0
104.85,8,1,1885,1.974,0,0
38.08,14,0,485,1.119,0,0
60.77,12,3,1371,0.651,0,0
31.1,21,2,3255,1.234,0,0
579.35,12,2,2553,0.984,0,0
261.37,8,1,3679,1.914,0,0
53.43,18,0,2615,0.806,0,0
109.32,21,1,2996,0.971,0,0
29.87,18,2,1868,1.766,0,0
38.44,18,1,3111,1.205,0,0
138.38,15,2,1252,0.25,0,0
32.77,17,0,3446,1.022,0,0
28.39,10,0,1492,1.543,0,0
109.91,7,0,2968,1.404,0,0
104.39,14,2,1804,1.609,0,0
70.11,16,1,937,1.009,0,0
85.07,9,3,1204,1.637,0,0
97.89,7,0,3054,0.392,0,0
167.2,6,1,3318,0.706,0,0
180.53,14,3,2149,1.183,0,0
104.02,20,1,1061,1.192,0,0
58.79,20,1,1877,1.798,0,0
44.14,7,1,855,0.693,1,0
42.39,12,4,3953,1.687,0,0
129.59,7,2,1755,0.936,1,0
318.02,16,1,2224,1.129,0,0
49.55,16,3,2987,1.191,0,0
21.41,20,3,1815,0.136,0,0
109.2,14,1,3064,0.757,0,0
62.74,21,1,1047,0.511,0,0
60.86,13,1,699,0.904,0,0
59.43,14,2,2447,1.326,0,0
112.3,21,2,3774,0.863,0,0
20.26,6,1,2940,0.873,0,0
174.36,10,0,641,0.663,0,0
111.72,21,0,3311,0.603,0,0
66.76,9,1,3794,1.222,0,0
270.4,19,1,1706,1.41,0,0
116.85,20,0,1253,1.378,0,0
88.88,8,1,3891,1.284,0,0
61.74,7,0,375,1.247,0,0
38.23,19,1,1161,0.877,0,0
129.7,7,0,3686,1.016,0,0
325.77,7,1,1300,1.411,0,0
419.3,18,2,3246,1.315,0,0
202.79,10,0,2551,0.438,0,0
54.7,19,1,1005,1.249,0,0
117.36,17,0,2406,1.206,0,0
497.99,17,0,662,0.779,0,0
40.77,15,1,3720,1.245,0,0
235.48,13,2,3976,1.259,0,0
117.56,22,1,2114,0.828,0,0
134.68,22,2,1086,1.363,0,0
153.88,17,0,3202,0.81,0,0
76.03,19,5,950,0.891,0,0
106.06,20,1,3512,0.472,0,0
71.1,19,0,1639,0.927,0,0
122.87,19,3,231,0.636,0,0
202.52,12,1,856,1.266,1,0
56.33,7,1,1707,1.951,1,0
128.94,18,0,1756,1.575,0,0
81.78,19,1,2375,1.094,0,0
46.44,18,1,634,0.654,0,0
257.19,7,0,939,1.375,1,0
24.04,15,0,3800,1.014,0,0
534.35,7,3,2141,1.303,0,0
159.53,16,0,2450,0.684,0,0
124.18,16,0,638,1.498,0,0
197.3,7,4,1015,0.791,1,0
172.49,12,0,3085,0.742,0,0
32.06,12,0,3427,0.882,0,0
70.73,10,1,225,0.968,0,0
83.2,22,1,491,1.298,0,0
38.55,9,1,3014,1.133,0,0
38.26,16,1,2422,1.349,0,0
160.15,20,2,2020,0.68,0,0
11.31,13,2,3550,1.119,0,0
77.24,7,2,444,0.847,0,0
75.8,16,1,2516,1.464,0,0
146.54,13,2,236,0.328,0,0
160.1,7,2,3494,0.828,0,0
21.31,7,1,207,1.171,1,0
89.73,19,0,3486,0.724,0,0
339.05,13,0,515,0.998,0,0
40.85,12,0,3474,0.78,0,0
148.59,18,2,1228,0.716,0,0
37.41,11,1,840,0.947,0,0
74.7,6,1,3882,0.781,0,0
67.88,19,2,2425,0.621,0,0
37.33,13,1,3320,0.84,1,0
191.44,10,3,2319,1.093,0,0
111.44,21,3,719,0.381,0,0
36.46,11,2,665,0.808,0,0
110.41,16,2,1941,1.284,0,0
115.57,10,1,2196,1.506,0,0
32.46,13,0,3464,1.342,0,0
152.46,20,2,844,0.819,0,0
375.34,17,1,2706,0.494,0,0
109.77,7,1,3948,1.327,0,0
17.59,22,2,3850,1.385,0,0
192.46,21,0,640,1.129,0,0
25.91,15,3,492,1.58,0,0
87.04,18,1,2697,0.576,0,0
26.77,8,2,1661,0.967,0,0
84.96,13,0,2990,0.738,0,0
35.62,14,0,2712,1.298,1,0
154.17,15,1,442,0.883,0,0
43.26,17,0,150,0.675,0,0
22.22,14,2,1314,1.414,0,0
45.81,19,3,2902,0.336,0,0
61.48,22,1,688,0.878,0,0
17.89,7,0,1654,0.948,0,0
32.42,9,2,1519,1.25,0,0
69.27,10,1,2979,1.106,0,0
180.39,13,0,1797,1.105,0,0
203.89,19,2,3101,1.097,0,0
279.15,14,1,3223,0.933,0,0
17.27,18,0,3104,1.025,0,0
83.6,13,2,2536,1.045,0,0
45.29,17,2,2614,0.96,0,0
180.35,5,5,208,3.114,1,1
128.98,17,0,221,1.341,0,0
227.25,12,1,2229,0.845,0,0
247.25,11,3,1080,0.621,0,0
127.65,18,1,2383,1.38,0,0
310.27,10,0,3793,1.183,0,0
80.64,7,3,3478,0.561,0,0
33.05,11,1,762,0.523,0,0
129.68,20,2,544,0.808,0,0
45.95,11,2,1677,1.138,0,0
20.23,9,0,3278,1.226,0,0
149.41,21,0,1485,0.936,0,0
116.39,15,2,1100,0.576,0,0
49.67,15,1,1706,0.793,0,0
52.33,15,2,559,0.281,0,0
227.17,22,2,2172,0.919,0,0
242.85,8,1,207,1.037,0,0
299.05,21,2,2843,0.719,0,0
17.47,8,2,979,1.129,0,0
39.04,13,1,133,1.07,0,0
167.63,15,2,797,1.291,0,0
98.37,8,2,500,1.034,0,0
67.46,10,2,1183,1.793,0,0
47.18,16,0,1924,1.29,0,0
107.84,20,1,3254,1.123,0,0
66.15,12,0,2232,0.984,0,0
95.72,15,0,2733,1.331,0,0
47.4,7,1,3583,1.044,0,0
923.04,3,13,15,2.869,1,1
217.52,20,1,752,0.752,0,0
123.83,20,3,1087,1.481,0,0
68.56,19,3,3882,0.612,1,0
272.91,16,2,300,0.633,0,0
46.78,14,3,2321,1.19,0,0
86.7,14,1,2102,0.657,0,0
48.7,9,3,3875,0.77,0,0
17.67,16,0,3728,0.97,0,0
657.34,12,3,2371,0.843,0,0
87.92,21,5,2830,0.577,1,0
93.2,17,1,2270,1.476,0,0
218.6,19,0,1652,0.526,0,0
915.25,8,3,1206,0.564,0,0
101.12,9,1,1085,1.595,1,0
501.83,18,0,357,1.115,0,0
71.54,12,3,712,1.202,0,0
61.04,17,2,2440,0.425,0,0
517.54,9,1,488,1.19,0,0
43.12,21,1,3071,1.61,0,0
7.58,10,3,310,1.054,0,0
61.34,6,0,2793,0.957,0,0
69.55,21,1,2054,0.747,0,0
439.47,19,3,456,0.776,0,0
124.42,18,3,3891,1.06,0,0
89.52,8,0,1830,1.202,0,0
137.68,10,0,2074,0.669,0,0
22.43,22,2,1185,1.374,0,0
97.51,14,1,3673,0.708,0,0
129.33,19,1,1533,1.372,0,0
166.99,19,1,1098,1.134,0,0
216.17,16,1,3629,0.502,0,0
14.63,22,3,2919,0.862,0,0
53.2,7,1,3264,1.21,1,0
54.22,9,2,1028,0.568,0,0
105.07,6,2,1410,1.54,0,0
203.42,18,1,3935,1.501,0,0
2037.14,2,4,92,3.476,1,1
480.96,6,2,2788,1.01,0,0
46.6,17,0,2870,0.83,0,0
34.25,17,1,3347,0.335,0,0
254.76,16,1,3122,0.944,0,0
115.28,18,0,1677,0.751,0,0
255.85,9,1,3825,0.928,0,0
437.96,22,3,1921,1.424,0,0
173.34,9,1,433,1.141,1,0
52.84,17,2,3244,0.615,0,0
50.64,22,2,2162,0.968,0,0
126.25,15,1,2091,1.106,1,0
377.95,13,1,2980,1.333,0,0
120.0,15,0,540,0.428,0,0
122.95,17,0,1096,0.615,0,0
35.82,12,1,2357,1.041,0,0
111.07,10,4,3204,0.64,0,0
55.64,15,1,3368,0.838,0,0
133.2,4,5,73,5.689,0,1
38.7,13,3,3136,0.915,0,0
55.57,16,0,1746,0.977,0,0
138.07,22,2,1090,1.067,0,0
